dataset,model,seed,threshold,mean_lead_time,median_lead_time,std_lead_time,detection_coverage,missed_drift_rate,batch_far,event_far,alert_episodes,false_alert_episodes,drift_events,detected_events,eligible_batches,false_batch_alerts,lead_time_sum,evaluated_batches,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision
synth_sea_abrupt,LSTM,11,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,11,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,11,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,11,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,11,0.35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,11,0.39999999999999997,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,11,0.44999999999999996,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,11,0.49999999999999994,5.0,5.0,0.0,0.5,0.5,0.14678899082568808,0.8888888888888888,9,8,2,1,109,16,5,119,9,7.563025210084033,8,1,0.1111111111111111
synth_sea_abrupt,LSTM,11,0.5499999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.7999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,11,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,22,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.39999999999999997,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.44999999999999996,0.0,0.0,0.0,0.0,1.0,0.9724770642201835,1.0,1,1,2,0,109,106,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,LSTM,22,0.49999999999999994,0.0,0.0,0.0,0.0,1.0,0.03669724770642202,1.0,4,4,2,0,109,4,0,119,4,3.361344537815126,4,0,0.0
synth_sea_abrupt,LSTM,22,0.5499999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,22,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,LSTM,22,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
